TrainingUpdate,CriticLoss,CriticLoss1,CriticLoss2,ActorLoss,AlphaLoss,EntropyWeight,LogAlpha,QValue
32,0.037898950278759,0.037881240248680115,0.03791665658354759,-4.394189834594727,1.0694859027862549,0.31742316484451294,-1.1475194692611694,3.959695816040039
33,0.021570108830928802,0.021599961444735527,0.021540256217122078,-4.3939032554626465,1.0693732500076294,0.317350834608078,-1.1477473974227905,3.959376335144043
34,0.03346902132034302,0.03347962722182274,0.033458419144153595,-4.3939924240112305,1.0692144632339478,0.31727850437164307,-1.1479753255844116,3.959479570388794
35,0.03233572840690613,0.032357651740312576,0.03231380507349968,-4.39265775680542,1.06776762008667,0.3172062039375305,-1.1482032537460327,3.9594473838806152
36,0.03462610021233559,0.03458484634757042,0.034667354077100754,-4.394906997680664,1.0694608688354492,0.31713390350341797,-1.1484311819076538,3.9598588943481445
37,0.03813241422176361,0.03813139349222183,0.03813343867659569,-4.390736103057861,1.0655125379562378,0.3170616328716278,-1.148659110069275,3.959491014480591
38,0.025170253589749336,0.025166397914290428,0.025174109265208244,-4.394050598144531,1.0685598850250244,0.31698936223983765,-1.148887038230896,3.9596142768859863
39,0.028724176809191704,0.02872886136174202,0.028719492256641388,-4.395675182342529,1.0702136754989624,0.3169171214103699,-1.149114966392517,3.959440231323242
40,0.02549039199948311,0.025472396984696388,0.02550838515162468,-4.391098499298096,1.0656901597976685,0.3168449103832245,-1.1493428945541382,3.959242582321167
41,0.039976976811885834,0.03995845839381218,0.03999549150466919,-4.389758586883545,1.0644394159317017,0.3167727291584015,-1.1495707035064697,3.9590089321136475
42,0.06081973761320114,0.06078208610415459,0.0608573853969574,-4.394503116607666,1.0696407556533813,0.3167005479335785,-1.1497986316680908,3.9584076404571533
43,0.02948981150984764,0.029482144862413406,0.029497476294636726,-4.393682956695557,1.0693408250808716,0.3166283667087555,-1.150026559829712,3.957742929458618
44,0.025428812950849533,0.025432163849473,0.025425463914871216,-4.388845443725586,1.0651030540466309,0.3165562152862549,-1.150254487991333,3.9569995403289795
45,0.021171934902668,0.021166518330574036,0.021177349612116814,-4.386746883392334,1.062973976135254,0.3164840638637543,-1.150482416152954,3.9568850994110107
46,0.023651843890547752,0.0236606877297163,0.023643000051379204,-4.385380268096924,1.0617319345474243,0.31641197204589844,-1.1507102251052856,3.9566168785095215
47,0.022160418331623077,0.022170204669237137,0.022150633856654167,-4.389509677886963,1.0659236907958984,0.316339910030365,-1.1509380340576172,3.9564104080200195
48,0.02948381006717682,0.02946767397224903,0.029499948024749756,-4.387798309326172,1.064277172088623,0.31626784801483154,-1.1511658430099487,3.9562008380889893
49,0.04019167274236679,0.04019907861948013,0.04018426313996315,-4.387012958526611,1.063726544380188,0.3161957859992981,-1.1513936519622803,3.9558217525482178
50,0.036595024168491364,0.036593466997146606,0.03659657761454582,-4.388094425201416,1.0649795532226562,0.3161237835884094,-1.1516214609146118,3.9555065631866455
