EpisodeIndex,EpisodeReward,EpisodeSteps,AverageReward,TotalAgentSteps,EpisodeQ0,EvaluationStatistic,BufferSize,CriticLoss,ActorLoss,AlphaLoss,EntropyWeight,QValue
695,-30.070163129615576,50,-46.46215607078567,58500,-3.8288650512695312,-42.1515420312529,20000,0.02471422404050827,4.470359802246094,0.1657370775938034,0.04999999701976776,-4.536096572875977
696,-44.39893826974115,50,-45.81644948065919,58550,-5.128870964050293,,20000,0.03545025736093521,4.460642337799072,0.16584737598896027,0.04999999701976776,-4.526489734649658
697,-43.12364300978044,50,-46.75447140230356,58600,-4.460951328277588,,20000,0.02190249226987362,4.440674304962158,0.16497094929218292,0.04999999701976776,-4.505645275115967
698,-26.265869228245347,50,-46.691541198505725,58650,-2.0803418159484863,,20000,0.026122018694877625,4.152547836303711,0.16491441428661346,0.04999999701976776,-4.217462539672852
699,-79.13148560628463,50,-47.61026480932544,58700,-5.538628578186035,,20000,0.03897927701473236,4.654722213745117,0.16460150480270386,0.04999999701976776,-4.719323635101318
700,-27.706522665570372,50,-46.41539741488778,58750,-4.187959671020508,-40.26985065527184,20000,0.024806739762425423,4.5380635261535645,0.16554561257362366,0.04999999701976776,-4.603609561920166
701,-29.891786147359394,50,-46.745136136613056,58800,-3.667794704437256,,20000,0.02869819849729538,4.591519355773926,0.16679127514362335,0.04999999701976776,-4.658310413360596
702,-31.4028147236467,50,-46.77501383075487,58850,-3.9785420894622803,,20000,0.03484219312667847,4.1183953285217285,0.1648906022310257,0.04999999701976776,-4.183285713195801
703,-61.79418345251681,50,-47.76198988738375,58900,-5.030329704284668,,20000,0.01735384576022625,4.689826965332031,0.16543897986412048,0.04999999701976776,-4.755265712738037
704,-25.26486723546825,50,-46.549394253343074,58950,-1.0037277936935425,,20000,0.039409663528203964,4.330006122589111,0.16523103415966034,0.04999999701976776,-4.395237445831299
705,-43.64021321399477,50,-45.16749683194133,59000,-2.846303939819336,-16.406408809742363,20000,0.06498108804225922,4.432888507843018,0.16569426655769348,0.04999999701976776,-4.498582363128662
706,-68.42559710763787,50,-46.70870817198249,59050,-3.5340871810913086,,20000,0.056950706988573074,4.643706321716309,0.16589495539665222,0.04999999701976776,-4.709601402282715
707,-47.163576383062185,50,-45.03253068437526,59100,-4.156838417053223,,20000,0.034850843250751495,4.615117073059082,0.1658497303724289,0.04999999701976776,-4.680966854095459
708,-44.82945963734006,50,-45.66698904487987,59150,-3.1899261474609375,,20000,0.049293775111436844,4.5552449226379395,0.16694803535938263,0.04999999701976776,-4.622192859649658
709,-56.4878464748335,50,-45.49098301331918,59200,-2.667483329772949,,20000,0.039907366037368774,4.934471607208252,0.16557899117469788,0.04999999701976776,-5.000050067901611
710,-77.12649529288872,50,-46.04129638798888,59250,-5.529446601867676,-50.88633163942585,20000,0.026987139135599136,4.691020965576172,0.16608448326587677,0.04999999701976776,-4.757104873657227
711,-57.47707525064924,50,-46.75967975707286,59300,-4.018226623535156,,20000,0.013827785849571228,4.354944229125977,0.16404272615909576,0.04999999701976776,-4.418987274169922
712,-69.5037535692156,50,-48.934530207201895,59350,-5.219583988189697,,20000,0.04444848746061325,4.602152347564697,0.16549052298069,0.04999999701976776,-4.667643070220947
713,-54.62074031685066,50,-48.02134243720278,59400,-5.397172451019287,,20000,0.040195100009441376,4.77286434173584,0.16495542228221893,0.04999999701976776,-4.8378190994262695
714,-40.231460012426105,50,-47.92782453635637,59450,-5.424651145935059,,20000,0.06776221096515656,4.827517032623291,0.16545476019382477,0.04999999701976776,-4.892971515655518
